Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;27000;0;0;0;0;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True
 Крымский инженерно-педагогический университет ; 56.6;; 720; 0; Да;бакалавриат;;;65800;магистратура;;;;295015, Республика Крым, г.Симферополь, переулок Учебный, д.8;False;True
 Кубанский государственный аграрный университет имени И.Т. Трубилина ; 67.9; 1.4; 1001; 0; Нет;бакалавриат;15;200.0;43200;магистратура;6;51.0;50100;350044, Краснодарский край, г. Краснодар, ул. Калинина, д. 13;True;True
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;25;239.0;135000;магистратура;6;51.0;50100;350040, г.Краснодар, ул.Ставропольская, 149;False;True
 Кузбасский государственный технический университет имени Т.Ф. Горбачева ; 58.2; -1.4; 826; 0; Да;бакалавриат;70;174.0;148081;магистратура;;;;650000, г.Кемерово, ул.Весенняя, д.28;True;True
 Курганский государственный университет; 63.8; -1; 697; 0; Нет;бакалавриат;0;0.0;45200;0;0;0;0;640020, г. Курган, ул. Советская, д.63, стр. 4;True;True
 Ленинградский государственный университет имени А.С. Пушкина ; 78.4; 0.1; 523; 1; Да;бакалавриат;0;0.0;59;магистратура;0;0.0;73;196605, г.Санкт-Петербург, г.Пушкин, Петербургское шоссе, д.10;False;True
 Майкопский государственный технологический университет; 60.4; 2.2; 344; 0; Нет;бакалавриат;17;123.0;36000;магистратура;3;0.0;47000;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, д.191;False;True
 МИРЭА - Российский технологический университет; 81.5; 1.6; 3031; 54; Да;бакалавриат;190;263.0;212800;магистратура;30;75.0;204000;119454, г. Москва, просп. Вернадского, д. 78;True;True
 Московский авиационный институт (национальный исследовательский университет); 78.5; 1; 2790; 22; Да;бакалавриат;60;252.0;;0;0;0;0;125993, г.Москва, Волоколамское шоссе, д.4;True;True
 Московский государственный психолого-педагогический университет; 79.3; 2.9; 500; 0; Нет;бакалавриат;;;;магистратура;;;;127051, г.Москва, ул. Сретенка, д. 29;False;True
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;22;200.0;302533;магистратура;10;56.0;324577;105005, г.Москва, 2-я Бауманская ул., д.5;True;True
 Московский государственный университет геодезии и картографии; 70.9; -2.8; 467; 2; Да;бакалавриат;25;224.0;195000;0;0;0;0;г.Москва, Гороховский пер.,4;True;True
 Московский государственный университет пищевых производств; 76.8; 1.6; 591; 0; Да;бакалавриат;0;200.0;85000;0;0;0;0;125080, г.Москва, Волоколамское шоссе, д.11;False;True
