Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;0;0.0;66000;магистратура;0;0.0;74600;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского; 69.9; 1.2; 1568; 3; Да;бакалавриат;;;;магистратура;;;;c8963b8c-56ef-4480-8fd1-69d204ca9855;410012, г.Саратов, ул.Астраханская, 83;False;True;https://www.sgu.ru/admission/priemnaya-kampaniya-2022
 Севастопольский государственный университет; 65.8; -0.6; 1724; 0; Да;бакалавриат;34;105.0;103000;магистратура;0;165.0;50000;9821ffaf-6064-4bda-8881-64db50b60b55;299053, г. Севастополь, ул. Университетская, д. 33;True;True;https://welcome.sevsu.ru/specialnosti/
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;16;240.0;155258;магистратура;16;41.0;166246;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Сыктывкарский государственный университет; 67.6; 0.4; 750; 1; Нет;бакалавриат;10;136.0;33840;магистратура;7;0.0;39520;4b77dbc6-0450-4bfa-878e-d153aaee32fb;167001, Республика Коми, г.Сыктывкар, Октябрьский пр., д.55;False;True;https://syktsu.ru/abitur/
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;7;211.0;97500;магистратура;;;;eeaec74b-1739-42e4-9c36-02c2329fc9f9;392036, Центральный федеральный округ, Тамбовская область, г. Тамбов, ул. Интернациональная, 33;True;False;http://abiturient.tsutmb.ru/normativno_pravovoe_obespechenie_priema_2020_2021_goda/
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;24;;121240;магистратура;17;;121240;b67da480-580c-4c77-b250-85a53beb6942;170100, г. Тверь, ул.Желябова, 33;False;True;https://priem.tversu.ru/
 Тольяттинский государственный университет; 64.4; -0.8; 834; 0; Да;бакалавриат;0;0.0;39500;0;0;0;0;5a29fd0c-3c95-4f82-8c54-c325731d8c0a;445020, Самарская область, г. Тольятти, ул.Белорусская, 14;True;True;https://priem.tltsu.ru/upload/docs/Kol_Mest_022020.pdf
 Тульский государственный университет; 65.7; -2.2; 1393; 0; Да;бакалавриат;0;0.0;118680;магистратура;6;44.0;127320;4d4d1c2c-0070-45b6-b9ac-b160a5c827c5;300026,  г. Тула, проспект Ленина, 125;False;True;https://tsput.ru/ent/2022/kcp.php
 Тюменский государственный университет; 77.9; -0.8; 1408; 18; Да;бакалавриат;8;240.0;139707;магистратура;16;72.0;155328;768dfccd-97bb-4534-85e4-e048c214b9c4;625003, Тюменская область, г. Тюмень, ул. Семакова, д. 10;False;False;https://abiturient.utmn.ru/postuplenie/priemnaya-kampaniya-2022/kolichestvo-mest/
 Удмуртский государственный университет ; 67.2; -1.6; 1264; 6; Да;бакалавриат;;;;магистратура;20;165.0;33800;a6558ddd-86a6-4a6a-83bc-f678ef69a53d;426034, Удмуртская Республика, г. Ижевск, ул. Университетская, д. 1;False;False;https://udsu.ru/admissions/2022/vysshee-obrazovanie-bakalavriat-i-spetsialitet/quantity_2022
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;25;227.0;73000;магистратура;22;70.0;104400;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Челябинский государственный университет; 71.9; -0.3; 819; 12; Нет;бакалавриат;25;206.0;102400;магистратура;8;82.0;90000;b265f70b-d35d-45f0-ab0a-eec7ad99dad4;454001, Челябинская область, город Челябинск, улица Братьев Кашириных, дом 129;False;True;https://www.csu.ru/roles/prospective-students/Priem/bachelor/PriemMest.aspx
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;0;0.0;27500;0;0;0;0;8a6c9f76-166b-4805-8c42-fdf474e8aff6;428015, г.Чебоксары  Московский проспект,15;False;True;https://abiturient.chuvsu.ru/urovni/bakalavriat/byudzhetnye-mesta
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;75;213.0;112000;магистратура;10;50.0;115000;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
