university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;40;261.0;"Федеральное государственное автономное образовательное учреждение высшего образования ""Казанский (Приволжский) федеральный университет""";7f000001-79c1-1a03-8179-c14e57c807e6
 Калининградский государственный технический университет; 61.4; -4.6; 515; 0; Да;бакалавриат;5;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Калининградский государственный технический университет»;7f000001-79c1-1a03-8179-c14e5a67080a
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Кемеровский государственный университет»;7f000001-79c1-1a03-8179-c14e4ae20741
 Крымский инженерно-педагогический университет ; 56.6;; 720; 0; Да;бакалавриат;;;"Государственное бюджетное образовательное учреждение высшего образования Республики Крым ""Крымский инженерно-педагогический университет имени Февзи Якубова""";7f000001-79c1-1a03-8179-c14e77730916
 Кубанский государственный аграрный университет имени И.Т. Трубилина ; 67.9; 1.4; 1001; 0; Нет;бакалавриат;15;200.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный аграрный университет имени И.Т. Трубилина»;7f000001-79c1-1a03-8179-c14e66f6089a
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;25;239.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»;7f000001-79c1-1a03-8179-c14e4b470747
 Кузбасский государственный технический университет имени Т.Ф. Горбачева ; 58.2; -1.4; 826; 0; Да;бакалавриат;70;174.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Кузбасский государственный технический университет имени Т.Ф. Горбачева»;7f000001-79c1-1a03-8179-c14e4b590748
 Курганский государственный университет; 63.8; -1; 697; 0; Нет;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курганский государственный университет""";7f000001-79c1-1a03-8179-c14e4b6b0749
 Ленинградский государственный университет имени А.С. Пушкина ; 78.4; 0.1; 523; 1; Да;бакалавриат;0;0.0;"Государственное автономное образовательное учреждение высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""";7f000001-79c1-1a03-8179-c14e7dec094c
 Майкопский государственный технологический университет; 60.4; 2.2; 344; 0; Нет;бакалавриат;17;123.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Майкопский государственный технологический университет»;7f000001-79c1-1a03-8179-c14e4be50750
 МИРЭА - Российский технологический университет; 81.5; 1.6; 3031; 54; Да;бакалавриат;190;263.0;ФГБОУ ВО «МИРЭА - Российский технологический университет» (РТУ МИРЭА);7f000001-79c1-1a03-8179-c14e4c660759
 Московский авиационный институт (национальный исследовательский университет); 78.5; 1; 2790; 22; Да;бакалавриат;60;252.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский авиационный институт (национальный исследовательский университет)""";7f000001-79c1-1a03-8179-c14e4c3c0756
 Московский государственный психолого-педагогический университет; 79.3; 2.9; 500; 0; Нет;бакалавриат;;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный психолого-педагогический университет""";7f000001-79c1-1a03-8179-c14e77150913
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;22;200.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)»;7f000001-79c1-1a03-8179-c14e4cad075e
 Московский государственный университет геодезии и картографии; 70.9; -2.8; 467; 2; Да;бакалавриат;25;224.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет геодезии и картографии»;7f000001-79c1-1a03-8179-c14e4cca0760
 Московский государственный университет пищевых производств; 76.8; 1.6; 591; 0; Да;бакалавриат;0;200.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»;7f000001-79c1-1a03-8179-c14e4ce70762
