university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Ивановский гос. энергетический ун-т.; 67.1; -0.3; 682; 0; Да
 Ивановский гос. энергетический ун-т.; 67.1; -0.3; 682; 0; Да
 Ижевская гос. медицинская академия; 73.4; -1; 485; 0; Да
 Ижевская гос. медицинская академия; 73.4; -1; 485; 0; Да
 Ижевская гос. сельскохозяйственная академия; 52.9; -0.7; 562; 0; Нет
 Ижевская гос. сельскохозяйственная академия; 52.9; -0.7; 562; 0; Нет
 Ижевский гос. техн. ун-т. им. М.Т. Калашникова; 65.8; -1.3; 981; 4; Да
 Ижевский гос. техн. ун-т. им. М.Т. Калашникова; 65.8; -1.3; 981; 4; Да
 Ингушский гос. ун-т., г. Магас; 62.3; -3.1; 709; 0; Да
 Ингушский гос. ун-т., г. Магас; 62.3; -3.1; 709; 0; Да
 Ин-т. сферы обслуживания и предпринимательства (филиал) Донского государственного технического ун-т.а в г. Шахты; 54.4; 2.7; 331; 0; Да
 Ин-т. сферы обслуживания и предпринимательства (филиал) Донского государственного технического ун-т.а в г. Шахты; 54.4; 2.7; 331; 0; Да
 Иркутский гос. аграрный ун-т. им. А.А. Ежевского; 54.2; 0.5; 471; 0; Нет
 Иркутский гос. аграрный ун-т. им. А.А. Ежевского; 54.2; 0.5; 471; 0; Нет
 Иркутский гос. медицинский ун-т.; 66.6; -5.1; 469; 0; Да
 Иркутский гос. медицинский ун-т.; 66.6; -5.1; 469; 0; Да
 Иркутский гос. ун-т.; 67.2; 0.4; 1752; 2; Нет
 Иркутский гос. ун-т.; 67.2; 0.4; 1752; 2; Нет
 Иркутский гос. ун-т. путей сообщения; 52.7; 0.9; 665; 1; Нет
 Иркутский гос. ун-т. путей сообщения; 52.7; 0.9; 665; 1; Нет
 Иркутский национальный исследовательский техн. ун-т.; 64.3; 1; 1559; 2; Нет
 Иркутский национальный исследовательский техн. ун-т.; 64.3; 1; 1559; 2; Нет
 Кабардино-Балкарский гос. аграрный ун-т. им. В.М. Кокова; 45.4; -0.6; 360; 0; Нет
 Кабардино-Балкарский гос. аграрный ун-т. им. В.М. Кокова; 45.4; -0.6; 360; 0; Нет
 Кабардино-Балкарский гос. ун-т. им. Х.М. Бербекова, г. Нальчик; 72.0; 5.2; 921; 0; Нет
