36.04.02!Зоотехния
16.04.03!Холодильная, криогенная техника и системы жизнеобеспечения
25.03.01!Техническая эксплуатация летательных аппаратов и двигателей
54.04.02!Декоративно-прикладное искусство и народные промыслы
38.03.03!Управление персоналом
39.04.03!Организация работы с молодежью
33.04.01!Промышленная фармация
35.04.01!Лесное дело
05.04.05!Прикладная гидрометеорология
19.03.02!Продукты питания из растительного сырья
38.04.09!Государственный аудит
35.03.11!Гидромелиорация
21.05.06!Нефтегазовые техника и технологии
42.03.02!Журналистика
08.05.02!Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей
19.04.01!Биотехнология
38.04.08!Финансы и кредит
24.04.03!Баллистика и гидроаэродинамика
35.03.08!Водные биоресурсы и аквакультура
21.05.05!Физические процессы горного или нефтегазового производства
41.03.01!Зарубежное регионоведение
19.03.01!Биотехнология
24.03.05!Двигатели летательных аппаратов
42.03.05!Медиакоммуникации
18.05.02!Химическая технология материалов современной энергетики
36.05.01!Ветеринария
38.03.02!Менеджмент
15.04.04!Автоматизация технологических процессов и производств
10.03.01!Информационная безопасность
04.04.01!Химия
02.04.03!Математическое обеспечение и администрирование информационных систем
29.04.01!Технология изделий легкой промышленности
20.04.01!Техносферная безопасность
02.03.01!Математика и компьютерные науки
41.03.06!Публичная политика и социальные науки
24.05.02!Проектирование авиационных и ракетных двигателей
54.04.04!Реставрация
39.04.02!Социальная работа
39.04.01!Социология
35.03.03!Агрохимия и агропочвоведение
38.04.03!Управление персоналом
27.03.03!Системный анализ и управление
55.05.01!Режиссура кино и телевидения
21.04.03!Геодезия и дистанционное зондирование
35.03.07!Технология производства и переработки сельскохозяйственной продукции
41.03.04!Политология
10.05.04!Информационно-аналитические системы безопасности
02.04.01!Математика и компьютерные науки
54.05.03!Графика
13.04.02!Электроэнергетика и электротехника
13.03.03!Энергетическое машиностроение
01.05.01!Фундаментальные математика и механика
51.04.01!Культурология
50.03.02!Изящные искусства
33.05.01!Фармация
09.04.01!Информатика и вычислительная техника
10.05.05!Безопасность информационных технологий в правоохранительной сфере
14.05.04!Электроника и автоматика физических установок
40.05.03!Судебная экспертиза
44.05.01!Педагогика и психология девиантного поведения
11.03.02!Инфокоммуникационные технологии и системы связи
05.04.06!Экология и природопользование
25.04.01!Техническая эксплуатация летательных аппаратов и двигателей
20.04.02!Природообустройство и водопользование
44.03.03!Специальное (дефектологическое) образование
01.04.03!Механика и математическое моделирование
24.04.01!Ракетные комплексы и космонавтика
19.03.04!Технология продукции и организация общественного питания
35.04.09!Ландшафтная архитектура
10.05.03!Информационная безопасность автоматизированных систем
07.03.01!Архитектура
42.04.01!Реклама и связи с общественностью
43.03.03!Гостиничное дело
12.05.01!Электронные и оптико-электронные приборы и системы специального назначения
26.03.02!Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры
28.04.03!Наноматериалы
07.04.01!Архитектура
40.05.04!Судебная и прокурорская деятельность
45.03.02!Лингвистика
47.03.01!Философия
39.03.03!Организация работы с молодежью
40.04.01!Юриспруденция
38.04.06!Торговое дело
20.05.01!Пожарная безопасность
51.03.06!Библиотечно-информационная деятельность
10.04.01!Информационная безопасность
12.03.05!Лазерная техника и лазерные технологии
03.04.02!Физика
14.03.02!Ядерные физика и технологии
24.03.03!Баллистика и гидроаэродинамика
27.04.05!Инноватика
47.04.03!Религиоведение
27.04.04!Управление в технических системах
23.04.01!Технология транспортных процессов
15.04.06!Мехатроника и робототехника
02.03.03!Математическое обеспечение и администрирование информационных систем
18.04.01!Химическая технология
15.04.03!Прикладная механика
27.04.06!Организация и управление наукоемкими производствами
29.03.04!Технология художественной обработки материалов
02.03.02!Фундаментальная информатика и информационные технологии
05.03.05!Прикладная гидрометеорология
09.03.01!Информатика и вычислительная техника
35.03.02!Технология лесозаготовительных и деревоперерабатывающих производств
07.03.04!Градостроительство
21.03.03!Геодезия и дистанционное зондирование
03.04.03!Радиофизика
24.04.04!Авиастроение
07.03.03!Дизайн архитектурной среды
52.05.04!Литературное творчество
15.03.05!Конструкторско-технологическое обеспечение машиностроительных производств
15.04.02!Технологические машины и оборудование
07.04.04!Градостроительство
54.03.03!Искусство костюма и текстиля
30.05.02!Медицинская биофизика
38.04.10!Жилищное хозяйство и коммунальная инфраструктура
15.03.03!Прикладная механика
21.04.02!Землеустройство и кадастры
27.04.02!Управление качеством
11.03.03!Конструирование и технология электронных средств
24.03.04!Авиастроение
03.03.01!Прикладные математика и физика
49.04.02!Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
35.03.06!Агроинженерия
38.04.01!Экономика
10.05.02!Информационная безопасность телекоммуникационных систем
52.03.01!Хореографическое искусство
22.04.02!Металлургия
15.05.01!Проектирование технологических машин и комплексов
22.03.01!Материаловедение и технологии материалов
38.03.07!Товароведение
46.04.02!Документоведение и архивоведение
23.03.03!Эксплуатация транспортно-технологических машин и комплексов
27.03.01!Стандартизация и метрология
40.05.02!Правоохранительная деятельность
24.05.01!Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов
03.03.02!Физика
23.05.01!Наземные транспортно-технологические средства
28.03.01!Нанотехнологии и микросистемная техника
09.03.04!Программная инженерия
09.04.04!Программная инженерия
29.04.05!Конструирование изделий легкой промышленности
27.04.07!Наукоемкие технологии и экономика инноваций
31.05.03!Стоматология
07.03.02!Реконструкция и реставрация архитектурного наследия
05.03.01!Геология
53.03.05!Дирижирование
09.04.02!Информационные системы и технологии
05.04.01!Геология
53.03.03!Вокальное искусство
12.03.04!Биотехнические системы и технологии
27.05.02!Метрологическое обеспечение вооружения и военной техники
23.03.01!Технология транспортных процессов
06.03.01!Биология
16.03.03!Холодильная, криогенная техника и системы жизнеобеспечения
14.05.02!Атомные станции: проектирование, эксплуатация и инжиниринг
12.03.02!Оптотехника
16.03.01!Техническая физика
37.05.02!Психология служебной деятельности
42.03.04!Телевидение
46.04.03!Антропология и этнология
53.03.02!Музыкально-инструментальное искусство
16.03.02!Высокотехнологические плазменные и энергетические установки
13.04.03!Энергетическое машиностроение
29.04.02!Технологии и проектирование текстильных изделий
44.03.02!Психолого-педагогическое образование
51.03.01!Культурология
49.03.01!Физическая культура
28.03.02!Наноинженерия
27.04.03!Системный анализ и управление
13.03.02!Электроэнергетика и электротехника
58.03.01!Востоковедение и африканистика
23.05.06!Строительство железных дорог, мостов и транспортных тоннелей
40.03.01!Юриспруденция
03.03.03!Радиофизика
38.03.04!Государственное и муниципальное управление
27.04.08!Управление интеллектуальной собственностью
11.04.02!Инфокоммуникационные технологии и системы связи
35.04.06!Агроинженерия
04.05.01!Фундаментальная и прикладная химия
46.03.03!Антропология и этнология
48.04.01!Теология
13.03.01!Теплоэнергетика и теплотехника
21.05.02!Прикладная геология
47.03.03!Религиоведение
29.03.05!Конструирование изделий легкой промышленности
02.04.02!Фундаментальная информатика и информационные технологии
24.05.05!Интегрированные системы летательных аппаратов
50.04.02!Изящные искусства
44.03.05!Педагогическое образование (с двумя профилями подготовки)
38.03.06!Торговое дело
06.04.01!Биология
12.04.03!Фотоника и оптоинформатика
38.03.10!Жилищное хозяйство и коммунальная инфраструктура
45.03.03!Фундаментальная и прикладная лингвистика
44.04.03!Специальное (дефектологическое) образование
43.04.01!Сервис
42.04.05!Медиакоммуникации
49.03.04!Спорт
28.03.03!Наноматериалы
16.04.01!Техническая физика
39.03.01!Социология
01.04.05!Статистика
41.04.05!Международные отношения
38.03.01!Экономика
44.04.01!Педагогическое образование
24.05.06!Системы управления летательными аппаратами
42.03.01!Реклама и связи с общественностью
05.03.03!Картография и геоинформатика
11.03.01!Радиотехника
43.04.02!Туризм
24.04.02!Системы управления движением и навигация
11.04.04!Электроника и наноэлектроника
19.03.03!Продукты питания животного происхождения
38.04.02!Менеджмент
44.03.04!Профессиональное обучение (по отраслям)
13.04.01!Теплоэнергетика и теплотехника
24.04.05!Двигатели летательных аппаратов
05.03.04!Гидрометеорология
54.03.01!Дизайн
46.04.01!История
30.05.01!Медицинская биохимия
20.03.01!Техносферная безопасность
35.04.04!Агрономия
50.04.03!История искусств
09.05.01!Применение и эксплуатация автоматизированных систем специального назначения
51.03.03!Социально-культурная деятельность
14.05.01!Ядерные реакторы и материалы
07.04.02!Реконструкция и реставрация архитектурного наследия
23.05.04!Эксплуатация железных дорог
45.04.04!Интеллектуальные системы в гуманитарной среде
01.03.05!Статистика
38.05.02!Таможенное дело
17.05.03!Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем
12.04.05!Лазерная техника и лазерные технологии
12.04.04!Биотехнические системы и технологии
15.03.01!Машиностроение
27.03.04!Управление в технических системах
43.03.02!Туризм
10.05.01!Компьютерная безопасность
48.03.01!Теология
09.04.03!Прикладная информатика
54.03.04!Реставрация
15.04.05!Конструкторско-технологическое обеспечение машиностроительных производств
15.04.01!Машиностроение
45.04.01!Филология
38.04.04!Государственное и муниципальное управление
38.04.07!Товароведение
54.04.03!Искусство костюма и текстиля
12.03.03!Фотоника и оптоинформатика
12.03.01!Приборостроение
27.03.02!Управление качеством
35.04.02!Технология лесозаготовительных и деревоперерабатывающих производств
54.05.02!Живопись
38.05.01!Экономическая безопасность
11.04.01!Радиотехника
46.03.02!Документоведение и архивоведение
05.04.03!Картография и геоинформатика
21.05.01!Прикладная геодезия
50.03.04!Теория и история искусств
09.03.03!Прикладная информатика
19.04.05!Высокотехнологичные производства пищевых продуктов функционального и специализированного назначения
43.04.03!Гостиничное дело
29.03.03!Технология полиграфического и упаковочного производства
