university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Красноярский+гос.+педагогический+ун-т.+им.+В.П.+Астафьева; 68.5; -0.6;712;1; Да;0
;;;;;;
Крымский+инженерно-педагогический+ун-т.,+г.+Симферополь; 56.6;;720;0; Да;https://ruvuz.ru/simferopol/kfu-imeni-vi-vernadskogo-kryimskij-federalnyij-universitet-imeni-vi-vernadskogo/ochno-zaochnaya-forma-obucheniya
;;;;;;
Крымский+федеральный+ун-т.+им.+В.И.+Вернадского; 64.7; -2.3;2520;2; Да;https://ruvuz.ru/simferopol/kfu-imeni-vi-vernadskogo-kryimskij-federalnyij-universitet-imeni-vi-vernadskogo/380000-ekonomika-i-upravlenie/380304-gosudarstvennoe-i-munitsipalnoe-upravlenie
;;;;;;
Кубанский+гос.+аграрный+ун-т.+им.+И.Т.+Трубилина,+г.+Краснодар; 67.9; 1.4;1001;0; Нет;0
;;;;;;
Кубанский+гос.+медицинский+ун-т.,+г.+Краснодар; 77.0; -1.9;525;0; Да;0
;;;;;;
Кубанский+гос.+технол.+ун-т.,+г.+Краснодар; 68.6; -2.2;977;1; Да;0
;;;;;;
Кубанский+гос.+ун-т.,+г.+Краснодар; 76.6; 0.2;1766;7; Да;0
;;;;;;
Кузбасский+гос.+техн.+ун-т.+им.+Т.Ф.+Горбачева,+г.+Кемерово; 58.2; -1.4;826;0; Да;0
;;;;;;
Курганский+гос.+ун-т.; 63.8;-1;697;0; Нет;0
;;;;;;
Курский+гос.+медицинский+ун-т.; 73.5; -0.3;551;0; Да;0
;;;;;;
Курский+гос.+ун-т.; 68.9; 0.2;855;0; Да;0
;;;;;;
Ленинградский+гос.+ун-т.+им.+А.С.+Пушкина,+г.+Санкт-Петербург; 78.4; 0.1;523;1; Да;0
;;;;;;
Липецкий+гос.+педагогический+ун-т.; 64.9; -0.7;579;1; Да;0
;;;;;;
Липецкий+гос.+техн.+ун-т.; 63.4; -1.7;571;0; Нет;0
;;;;;;
