Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Калмыцкий государственный университет ; 61.1; 1.9; 729; 0; Нет;бакалавриат;18;127.0;23000;магистратура;9;80.0;100372;3e35d441-fa6f-44ea-9afa-b2b6c3e50251;358000, Республика Калмыкия, г.Элиста, ул.А.С. Пушкина, д.11;False;True;https://www.kalmgu.ru/docs/priemn/bakspec/2021/10.pdf
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;22500;магистратура;;;25000;d6de7b26-79ae-45e5-b657-517f90cc3adb;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True;https://kemsu.ru/upload/abiturient/kcp_2021_3.pdf
 Крымский инженерно-педагогический университет ; 56.6;; 720; 0; Да;бакалавриат;20;114.0;65400;магистратура;;;;b7724a71-a87d-46bd-ae51-5187a2856cc9;295015, Республика Крым, г.Симферополь, переулок Учебный, д.8;False;True;https://kipu-rc.ru/downloads/2021/pk/12.pdf
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;25;228.0;116400;магистратура;6;98.0;125000;9476cfaa-2a3e-4135-9b62-954a0e5bbc48;350040, г.Краснодар, ул.Ставропольская, 149;False;True;https://www.kubsu.ru/sites/default/files/insert/page/2022_places_b_0.pdf
 Курганский государственный университет; 63.8; -1; 697; 0; Нет;бакалавриат;14;172.0;109100;магистратура;6;50.0;134400;8e5ea7cf-9552-44f3-89bd-8cb701e7e0c1;640020, г. Курган, ул. Советская, д.63, стр. 4;True;True;https://abit.kgsu.ru/page/3
 Курский государственный университет; 68.9; 0.2; 855; 0; Да;бакалавриат;13;194.0;29036;0;0;0;0;b45d2692-a071-4ae5-a5da-ba2b514a93d9;305000, г.Курск, ул.Радищева, 33;False;True;https://kursksu.ru/pages/entrance2022_info
 Ленинградский государственный университет имени А.С. Пушкина ; 78.4; 0.1; 523; 1; Да;бакалавриат;;;;магистратура;;;;b7680e10-5fdc-468f-af41-d7e64541c446;196605, г.Санкт-Петербург, г.Пушкин, Петербургское шоссе, д.10;False;True;https://lengu.ru/abitur/vsya-informatsiya-o-priyeme-2022-bakalavriat-spetsialitet/vsya-informatsiya-o-priyeme-2022-bakalavriat-magistratura
 Липецкий государственный педагогический университет; 64.9; -0.7; 579; 1; Да;бакалавриат;12;133.0;106550;0;0;0;0;90ab8680-bf5b-4377-8439-7e4dd4b97b4a;398020 г. Липецк, ул. Ленина, 42;False;True;https://lspu-lipetsk.ru/uploads/Abiturient/2022/LGPU_2022_kolichestvo_mest.pdf
 Марийский государственный университет ; 66.9; 1.2; 1277; 0; Нет;бакалавриат;20;146.0;110000;магистратура;14;40.0;55000;45e50d68-f320-4053-a31b-6ee1d1e2f48e;424000, Республика Марий Эл, г. Йошкар-Ола, площадь им. Ленина, д.1;False;True;https://marsu.ru/abitur/pravila/plan_priema/
 Мичуринский государственный аграрный университет; 53.8; -2.2; 501; 0; Нет;бакалавриат;20;235.0;25000;магистратура;34;49.0;25000;10687a60-5296-4867-aaf5-24ad9b42d7db;393760, Тамбовская область, г. Мичуринск, ул. Интернациональная, д. 101;False;True;http://mgau.ru/abitur/bachelor/index.php
 Московский городской педагогический университет; 87.2; 1.7; 1094; 82; Да;бакалавриат;;;87500;магистратура;30;170.5;97400;54cfb1dc-3fa9-400c-ad49-c574c898e210;129226, г.Москва, 2-ой Сельскохозяйственный проезд, д.4, корп. 1;False;True;https://www.mgpu.ru/pk/?dir=1.%20%D0%9F%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%202021%20%28%D0%B2%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%29/2.%20%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%20%D0%B2%202021%20%D0%B3%D0%BE%D0%B4%D1%83/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0
 Московский государственный лингвистический университет; 89.6; 0; 532; 48; Да;бакалавриат;0;0.0;240000;магистратура;5;175.0;260000;c82597fb-d8dd-484c-a440-c60fe86a6c25;119034, г.Москва, ул. Остоженка, д. 38, стр. 1;True;True;https://linguanet.ru/upload/medialibrary/ae4/ae4f9f3d333661e403f0d49b7b6d46df.pdf
