Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Пермский национальный исследовательский политехнический университет; 69.0; -0.2; 1822; 0; Нет;бакалавриат;0;0.0;60000;магистратура;7;0.0;147000;acf8d4f4-c1ba-433c-821e-7762d24b69fa;614990, г.Пермь, Комсомольский проспект, д. 29;False;True;https://pstu.ru/files/2/file/enrollee/!PLAN_priema_2021_2.pdf
 Петрозаводский государственный университет; 70.2; 0.6; 1336; 1; Нет;бакалавриат;0;0.0;84000;магистратура;9;40.0;167400;ec58ccf8-3d3b-4e3a-9a34-50d033761092;185910, Республика Карелия, г. Петрозаводск, пр. Ленина, 33;True;False;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/kolitchesvto-byuzhdetnyh-mest
 Поволжский государственный технологический университет ; 68.3; 2.4; 1301; 0; Нет;бакалавриат;10;196.0;40300;магистратура;10;60.0;121250;9c9410df-579c-43e3-bb09-747054f829f0;424000, Республика Марий Эл, г.Йошкар-Ола, пл. Ленина, д.3;False;True;https://dod.volgatech.net/documents/
 Российский государственный университет нефти и газа имени И.М. Губкина ; 83.0; 1.1; 1240; 39; Да;бакалавриат;86;217.0;278000;0;0;0;0;3b68c882-8089-4f13-87a2-a2a1c1912ac0;РГУ нефти и газа (НИУ) имени И.М. Губкина, 119991, Город Москва, проспект Ленинский, дом 65,  корпус 1;True;True;https://gubkin.ru/info/enrollee/admission_board/postupayushchim-v-bakalavriat/priyem-na-ochnuyu-formu-obucheniya/Pravila_priema__2021_b1__.pdf
 Российский экономический университет имени Г.В. Плеханова ; 88.7; 0.5; 630; 66; Да;бакалавриат;9;185.0;274000;0;0;0;0;867fe171-455b-496a-b598-fc4f0f3f0f88;117997, г. Москва, Стремянный пер., д. 36;False;False;https://www.rea.ru/ru/org/managements/priem/Documents/Normativ_Dokuments/2022/%D0%91%D0%B0%D0%BA_%D0%A0%D0%AD%D0%A3/%D0%9A%D0%A6%D0%9F_%D0%B1%D0%B0%D0%BA_%D0%A0%D0%AD%D0%A3.pdf
 Самарский государственный технический университет; 68.1; 1; 2012; 6; Нет;бакалавриат;0;0.0;61380;0;0;0;0;38cde29e-6691-481d-b30f-79282fbd19a5;443100, г.Самара, ул.Молодогвардейская, 244;True;True;https://samgtu.ru/uploads/admission/2022/kcp_2022.pdf
 Самарский национальный исследовательский университет имени академика С.П. Королева; 75.0; -0.2; 2016; 16; Нет;бакалавриат;0;0.0;47700;0;0;0;0;38145b24-9064-42d1-ae3d-25f70fec0041;443086, г.Самара, Московское шоссе, д.34а;True;True;https://ssau.ru/files/priem_doc/bachelor/2021/rasp_9_2021.pdf
 Санкт-Петербургский горный университет; 80.8; 2.3; 1831; 64; Нет;бакалавриат;50;212.0;400000;магистратура;9;244.0;400000;37c9158f-99fb-4790-a7bc-749dd3ba2c45;199106, г.Санкт-Петербург, 21-я линия, д.2;True;True;https://priem.spmi.ru/sites/default/files/manager/03.PlanPriema/KCP.pdf
 Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова; 75.0; 0; 543; 0; Нет;бакалавриат;;;;магистратура;;;;cdb5222f-5110-4e24-bd31-5f51766bc907;194021, г.Санкт-Петербург, Институтский пер., д.5 литера У;False;True;https://spbftu.ru/wp-content/uploads/2021/06/200od.pdf
 Санкт-Петербургский государственный морской технический университет; 71.6; 1.7; 970; 3; Нет;бакалавриат;18;208.0;195900;0;0;0;0;d33ab9cb-7133-4194-9d2f-1fae3d913c3d;190121, г.Санкт-Петербург, Лоцманская ул., 3;True;True;https://www.smtu.ru/ru/page/204/
