Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Севастопольский государственный университет; 65.8; -0.6; 1724; 0; Да;бакалавриат;;;40000;магистратура;;;;9821ffaf-6064-4bda-8881-64db50b60b55;299053, г. Севастополь, ул. Университетская, д. 33;True;True;https://welcome.sevsu.ru/specialnosti/
 Сибирский государственный индустриальный университет ; 65.3; 2.3; 1095; 1; Нет;бакалавриат;25;120.0;140350;магистратура;6;50.0;74475;aa29b86f-5cf0-418b-9b31-fa9d4421f3e9;654007, Кемеровская область - Кузбасс, г. Новокузнецк, Центральный р-н, ул. Кирова, зд. 42;False;True;https://www.sibsiu.ru/abiturientu/AbitReport/index2.php?sphrase_id=454970
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;50;166.0;176934;0;0;0;0;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Тверской государственный технический университет; 61.6; -0.4; 552; 0; Нет;бакалавриат;35;148.0;125420;магистратура;10;32.0;133270;f781d9fe-e5d1-45c6-b4f1-fbdec58c090b;170026. г.Тверь, наб. А.Никитина, дом 22;True;True;http://www.new.tstu.tver.ru/abitur/bachelor/#pills-aboutPlan
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;35;148.0;125420;магистратура;10;32.0;133270;f781d9fe-e5d1-45c6-b4f1-fbdec58c090b;170026. г.Тверь, наб. А.Никитина, дом 22;True;True;http://www.new.tstu.tver.ru/abitur/bachelor/#pills-aboutPlan
 Тольяттинский государственный университет; 64.4; -0.8; 834; 0; Да;бакалавриат;20;178.0;0;магистратура;;;;5a29fd0c-3c95-4f82-8c54-c325731d8c0a;445020, Самарская область, г. Тольятти, ул.Белорусская, 14;True;True;https://priem.tltsu.ru/upload/docs/Kol_Mest_022020.pdf
 Тюменский индустриальный университет; 66.1; -1; 2206; 2; Да;бакалавриат;0;0.0;41800;магистратура;26;80.0;165000;f2954ac7-d586-4f62-a46e-1281bb11f417;625000, Тюменская область, г. Тюмень, ул. Володарского, д. 38;False;False;https://www.tyuiu.ru/abitur/
 Уральский государственный лесотехнический университет ; 64.0; -0.6; 683; 0; Нет;бакалавриат;0;0.0;30000;магистратура;;;50000;5a8f97c4-23cc-440e-87e3-92d3e26715d1;620100, Свердловская область, г. Екатеринбург, ул. Сибирский тракт, д. 37;False;True;http://usfeu.ru/abiturientu/bakalavriat/kolichestvo-mest/
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;30;222.0;95000;магистратура;85;57.0;164800;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Уфимский государственный нефтяной технический университет; 73.4; -2.8; 1766; 33; Да;бакалавриат;23;192.0;125000;магистратура;34;92.0;140000;3e989242-fe92-4e7d-b5f9-43a9298079f7;450064, Республика Башкортостан, г.Уфа, ул.Космонавтов, 1;False;True;http://pk.rusoil.net/page/plan-priema-na-programmy-bakalavriata-i-specialiteta
 Череповецкий государственный университет; 65.7; 0.4; 967; 0; Нет;бакалавриат;0;0.0;25300;0;0;0;0;4968869f-f085-4c90-b3ae-6f8a78695407;162600, Россия, Вологодская область, г. Череповец, проспект Советский, д.10;False;True;https://pk.chsu.ru/dokumenty/podannye-zayavleniya.php
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;0;0.0;29500;0;0;0;0;8a6c9f76-166b-4805-8c42-fdf474e8aff6;428015, г.Чебоксары  Московский проспект,15;False;True;https://abiturient.chuvsu.ru/urovni/bakalavriat/byudzhetnye-mesta
 Южно-Российский государственный политехнический университет имени М.И. Платова ; 59.5; 2.2; 942; 1; Да;бакалавриат;0;0.0;;магистратура;20;255.0;116340;14aa519e-7f4f-4468-9b64-1d691477f44b;346428, Ростовская область, г.Новочеркасск, ул. Просвещения 132;True;True;https://abiturient.npi-tu.ru/assets/files/docs/2021/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%20%D0%BA%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%20%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD%20%D0%AE%D0%A0%D0%93%D0%9F%D0%A3%20(%D0%9D%D0%9F%D0%98)%20%D0%B8%D0%BC.%20%D0%9C.%D0%98.%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%B2%D0%B0.pdf
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;25;167.0;128000;0;0;0;0;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
