university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link to file
Рязанский+гос.+медицинский+ун-т.+им.+И.П.+Павлова; 77.3; 0.3;479;1; Да;https://rzgmu.ru/admission/college_entrants/selection_committee/;;https://www.rzgmu.ru/images/upload/news/pismo.pdf;https://rzgmu.ru/images/upload/lib/lan_VUZ.xlsx;https://www.rzgmu.ru/images/upload/lib/erohin.xlsx;https://efr.rzgmu.ru/images/upload/lib/kurs.xlsx
Рязанский+гос.+ун-т.+им.+С.А.+Есенина; 70.4; -2.6;598;0; Да;https://www.rsu.edu.ru/admission/;;0
Рязанский+гос.+радиотехн.+ун-т.; 65.6; 1.3;834;1; Нет;http://www.rsreu.ru/abitur/info;;http://www.rsreu.ru/abitur/bachelor/napravleniya-podgotovki-bakalavriata;http://www.rsreu.ru/var/www/rsreu/index.php?option=com_content&view=article&id=408&Itemid=674;http://www.rsreu.ru/abitur/bachelor/tsifry-priema;http://www.rsreu.ru/sveden/education/tablitsa-5;http://rsreu.ru/site-map;http://www.rsreu.ru/abitur/menu-1746/245-/3898-;https://edu.rsreu.ru/res/specialities/disc_edu_programs/75048-edu_program-file-%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%B2%D0%B5%D1%80%D0%BE%D1%8F%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9_%D0%B8_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0.pdf;http://www.rsreu.ru/faculties/ief/kafedri/eimm/menu-586/080500-biznes-informatika;http://www.rsreu.ru/gshp;http://www.rsreu.ru/sveden/budget
Благовещенский+гос.+педагогический+ун-т.; 62.7; -0.9;427;0; Нет;https://bgpu.ru/abitur/;;0
"Балтийский+гос.+техн.+ун-т.+""Военмех""+им.+Д.Ф.+Устинова,+г.+Санкт-Петербург"; 74.1; -0.6;946;0; Нет;https://priem.voenmeh.ru/;;https://priem.voenmeh.ru/f/pravila_priema_2022.pdf;https://priem.voenmeh.ru/inostran;https://priem.voenmeh.ru/f/spravochnik_abiturienta.pdf;https://priem.voenmeh.ru/prohodnye-bally-proshlyh-let
Балтийский+федеральный+ун-т.+им.+И.+Канта; 77.9; 0.3;1312;11; Нет;https://kantiana.ru/abiturientu/;;https://kantiana.ru/sveden/education/;https://kantiana.ru/universitys/voennyy-uchebnyy-tsentr/;https://kantiana.ru/sotrudnikam/kadrovaya-sluzhba/informatsiya-o-predstavitelyakh-rabotodatelya/
Байкальский+гос.+ун-т.,+г.+Иркутск; 71.4; -3.1;342;0; Да;http://bgu.ru/;;0
Башкирский+гос.+аграрный+ун-т.,+г.+Уфа; 61.4; 0.5;647;0; Нет;https://bsau.ru/Abitur/;;0
Башкирский+гос.+педагогический+ун-т.+им.+М.+Акмуллы,+г.+Уфа; 71.8; 1.7;734;1; Нет;https://abitur.bspu.ru/;;0
Башкирский+гос.+медицинский+ун-т.,+г.+Уфа; 73.5; -3.1;870;0; Да;http://priem.bashgmu.ru/;;0
Башкирский+гос.+ун-т.,+г.+Уфа; 67.6; -2.1;1011;4; Да;https://pk.bashedu.ru/priemnaya-komissiya;;https://pk.bashedu.ru/napravlenie-podgotovki-010302-prikladnaya-matematika-i-informatika;https://pk.bashedu.ru/plan-priema;https://pk.bashedu.ru/napravleniya-podgotovki;https://pk.bashedu.ru/itogi-priema-arhiv
Белгородский+гос.+аграрный+ун-т.+им.+В.Я.+Горина; 60.0; 1.3;407;0; Нет;https://bsaa.edu.ru/abiturient/PK.php;;0
Белгородский+гос.+национальный+исследовательский+ун-т.; 66.8; -2.5;1460;2; Да;http://abitur.bsu.edu.ru/;;http://abitur.bsu.edu.ru/abitur/priem/places/index.php?type=1;http://abitur.bsu.edu.ru/abitur/help/quest/index.php?type=original&PAGEN_2=6&PAGEN_1=185
Белгородский+гос.+технол.+ун-т.+им.+В.Г.+Шухова; 67.7; -1.5;1342;3; Нет;https://www.bstu.ru/abitur/priemInf/kontakty;;https://bstu.ru/sveden/education;http://www.bstu.ru/shared/attachments/226032;https://www.bstu.ru/shared/attachments/233179;https://dekanat.bstu.ru/media/work_programs/%D1%8D%D0%BB_%D0%B4%D0%B8%D1%81%D1%86_03_0xzs25U.pdf;http://career.bstu.ru/shared/attachments/181010;http://career.bstu.ru/shared/attachments/192409;http://career.bstu.ru/shared/attachments/192408
