university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Читинская+гос.+медицинская+академия; 59.8;-2;420;0; Да;https://chitgma.ru/abiturien/komiss-pr;
Чувашская+гос.+сельскохозяйственная+академия,+г.+Чебоксары; 47.8; -7.4;330;0; Да;http://academy21.ru/novosti/3220-priemnaya-komissiya-chgsha-dlya-abiturientov.html;
Чувашский+гос.+педагогический+ун-т.+им.+И.Я.+Яковлева,+г.+Чебоксары; 67.0;0;545;0; Нет;https://cheb.ru/vuz/chgpu.html;
Чувашский+гос.+ун-т.+им.+И.Н.+Ульянова,+г.+Чебоксары; 70.3; 0.9;1296;1; Да;https://abiturient.chuvsu.ru/;
Южно-Российский+гос.+политехн.+ун-т.+им.+М.И.+Платова,+г.+Новочеркасск; 59.5; 2.2;942;1; Да;https://abiturient.npi-tu.ru/;
Южно-Уральский+гос.+аграрный+ун-т.,+г.+Троицк; 52.5; -0.2;445;0; Да;https://xn--80af2bld5d.xn--p1ai/;
Южно-Уральский+гос.+гуманитарно-педагогический+ун-т.+(ЧГПУ),+г.+Челябинск; 70.0; -0.5;476;2; Да;https://www.cspu.ru/;
Южно-Уральский+гос.+медицинский+ун-т.,+г.+Челябинск; 72.7;-3;550;1; Да;http://www.chelsma.ru/abitur/;
Южный+федеральный+ун-т.; 76.7; 0.2;3088;34; Да;https://sfedu.ru/www/stat_pages22.show?p=ABT/main/M#:~:text=%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D1%8F%20%D0%AE%D0%A4%D0%A3%3A&text=%D1%82%D0%B5%D0%BB.%3A%20%2B7%20(863,.abitur.sfedu.ru.;
Юго-Западный+гос.+ун-т.,+г.+Курск; 67.8;-1;637;0; Да;https://swsu.ru/;
Югорский+гос.+ун-т.,+г.+Ханты-Мансийск; 64.6; -3.3;715;2; Да;https://www.ugrasu.ru/enrollee/;
Елецкий+гос.+ун-т.+им.+И.А.+Бунина; 56.1; -2.7;463;0; Да;https://elsu.ru/pk/456-priemnaya-komissiya.html;
Ижевская+гос.+медицинская+академия; 73.4;-1;485;0; Да;https://www.igma.ru/component/content/category/77-priemkom;
Ижевская+гос.+сельскохозяйственная+академия; 52.9; -0.7;562;0; Нет;https://izhgsha.ru/abiturientam.html;
Ижевский+гос.+техн.+ун-т.+им.+М.Т.+Калашникова; 65.8; -1.3;981;4; Да;https://istu.ru/abitur;
Ингушский+гос.+ун-т.,+г.+Магас; 62.3; -3.1;709;0; Да;http://inggu.ru/abitur/;
Ин-т.+сферы+обслуживания+и+предпринимательства+(филиал)+Донского+государственного+технического+ун-т.а+в+г.+Шахты; 54.4; 2.7;331;0; Да;https://www.sssu.ru/;
Ивановская+гос.+медицинская+академия; 71.7; -3.3;358;1; Да;https://isma.ivanovo.ru/archives?division_id=88&fixed=false;
Ивановский+гос.+политехн.+ун-т.; 64.5; -0.7;379;0; Нет;https://ivgpu.com/abitur;
Ивановский+гос.+химико-технол.+ун-т.; 62.2; -1.1;587;0; Нет;https://www.isuct.ru/Abitur;
Ивановский+гос.+ун-т.; 67.5; -0.3;383;0; Да;http://ivanovo.ac.ru/abitur/;
Ивановский+гос.+энергетический+ун-т.; 67.1; -0.3;682;0; Да;http://abiturient.ispu.ru/;
Иркутский+национальный+исследовательский+техн.+ун-т.; 64.3;1;1559;2; Нет;https://www.istu.edu/abiturientu/priyemnaya_komissiya;
Иркутский+гос.+аграрный+ун-т.+им.+А.А.+Ежевского; 54.2; 0.5;471;0; Нет;https://irsau.ru/;
Иркутский+гос.+медицинский+ун-т.; 66.6; -5.1;469;0; Да;https://mir.ismu.baikal.ru/ismu/page_dept.php?id=1633;
Иркутский+гос.+ун-т.; 67.2; 0.4;1752;2; Нет;https://isu.ru/Abitur;
Иркутский+гос.+ун-т.+путей+сообщения; 52.7; 0.9;665;1; Нет;https://www.irgups.ru/abitur;
Хакасский+гос.+ун-т.+им.+Н.Ф.+Катанова,+г.+Абакан; 60.4; -1.7;595;0; Нет;http://khsu.ru/abitur/;
Алтайский+гос.+аграрный+ун-т.,+г.+Барнаул; 56.3; -2.4;523;0; Нет;http://www.asau.ru/ru/abitur;
Алтайский+гос.+педагогический+ун-т.,+г.+Барнаул; 66.7; -1.1;712;1; Да;https://www.altspu.ru/;
Алтайский+гос.+медицинский+ун-т.,+г.+Барнаул; 69.8; -3.9;619;0; Да;https://asmu.ru/struktura-agmu/priemnaya-komissiya/;
Алтайский+гос.+техн.+ун-т.+им.+И.И.+Ползунова,+г.+Барнаул; 66.5; 2.8;1061;3; Нет;https://www.altstu.ru/structure/unit/pk/;
Алтайский+гос.+ун-т.,+г.+Барнаул; 74.4; 1.7;1420;23; Да;https://www.asu.ru/structure/upravlenie_uni/amit_comm/;
Адыгейский+гос.+ун-т.,+г.+Майкоп; 63.0;0;620;0; Нет;https://www.adygnet.ru/;
Амурская+гос.+медицинская+академия,+г.+Благовещенск; 62.4; -2.1;332;0; Да;https://www.amursma.ru/abitur/;
Амурский+гос.+ун-т.,+г.+Благовещенск; 61.3; -2.2;602;0; Нет;https://www.amursu.ru/postuplenie/kontakty-priemnoy-komissii/;
Астраханский+гос.+медицинский+ун-т.; 70.8; -0.8;372;0; Да;http://astgmu.ru/abitur/;
Астраханский+гос.+техн.+ун-т.; 56.8;-2;561;0; Нет;https://astu.org/abitur;
Астраханский+гос.+ун-т.; 63.9; -2.2;695;1; Да;https://asu.edu.ru/Abitur/;
Арзамасский+филиал+Национального+исследовательского+Нижегородского+государственного+ун-т.а+им.+Н.И.+Лобачевского; 62.9; 0.1;305;0; Да;https://arz.unn.ru/postupleny;
Арктический+гос.+агротехнол.+ун-т.; 48.7; -11.8;368;0; Нет;https://agatu.ru/;
Армавирский+гос.+педагогический+ун-т.; 64.5; -1.2;500;0; Нет;http://priem.agpu.net/;
Шадринский+гос.+педагогический+ин-т.; 68.1;0;330;0; Нет;http://shgpi.edu.ru/spec/ssylki/informacija-priemnoi-komissii/;
Ярославский+гос.+педагогический+ун-т.+им.+К.Д.+Ушинского; 72.8; -2.1;602;0; Нет;https://priem.yspu.org/;
Ярославский+гос.+медицинский+ун-т.; 74.4; -0.5;443;3; Да;https://ysmu.ru/abitur/special/;
Ярославский+гос.+техн.+ун-т.; 69.3; -1.4;686;0; Нет;https://www.ystu.ru/admissions/;
Ярославский+гос.+ун-т.+им.+П.Г.+Демидова; 74.1; -3.5;883;2; Да;https://www.uniyar.ac.ru/Abitur/;
Ульяновский+ин-т.+гражданской+авиации+им.+Главного+маршала+авиации+Б.П.+Бугаева; 73.0; -1.3;423;0; Да;http://www.uvauga.ru/priem;
Ульяновский+гос.+педагогический+ун-т.+им.+И.Н.+Ульянова; 66.2; -1.4;764;0; Да;https://abiturient.ulsu.ru/;
